,ID,text,anger,disgust,fear,joy,sadness
1466,2018-Ar-00532,@Grace_kian انا بشوف انو الكاتبة ذكية وبحب اسلوبها الغامض الي يخليك محتارة ومش عارفة شي وتتخبطين بالافكار اسلوبها مد وجزر ترغيب وترهيب,0,0,0,1,0
674,2018-Ar-00218,احياناً السعاده تكون ع هئيه شخص محد ينكر هالشيّ👌🏻..,0,0,0,1,0
468,2018-Ar-03739,@_Dalissima_ بطلت من كذا سنة أعيد لأعياد عامة وبقيت أكتفي بالمناسبات الخاصة. وتقدري تقولي المصايب بقت بترف مطر مش ملاحقين في كل مناسبة.,1,0,1,0,1
2594,2018-Ar-01888,كويس اننا لسه محافظين ف زاكرتنا ع شويه حاجات مبهجه كفيله انها تسعدنا لما نفتكرها والله 🌸 💞,0,0,0,1,0
429,2018-Ar-01837,#معهد_الفتيات\nشكراً لها عندما تعبنا أمسكت بنا و قوتنا \nجزاها ربِ كل خير على ما تقدم لإسعادنا ❤️\nكتب بحب لـ #أمل_محمد_الفراج\n@amal_alfarraj,0,0,0,1,0
2918,2018-Ar-03232,بيخاف وبأرعب من الحشرات ولفقولو تهمة ضرب طب لفقولو تهمة منطقية مو واحد بأرعب من خيالو وتجو تقلولي ضرب شيطانة 😂 والتاني كان بالصين,1,0,1,0,0
1749,2018-Ar-02838,#متجر_قهوه_مجيد\nماشاء الله \nالله يزيدك ويبارك لك في رزقك\nتستاهل كل خير...\n\nمدري ليش كل م اشوفك تتوسع بتجارتك آحس بسعاده كبيره 😀,0,0,0,1,0
916,2018-Ar-02533,#أفراح_القبة من أجمل المسلسلات الي شفتها و أروعها اداء رائع للجميع و أولهم المخرج #محمد_ياسين 👍🏻👏🏻,0,0,0,1,0
166,2018-Ar-00548,هو مب اني متضايقه لا بس شبه عتاب,1,0,0,0,1
1011,2018-Ar-02705,هذا الوجع الفراغ الوهن الانكسار يدفع الشخص في التفكير في أمور عديده سيئه و في الغالب مُسيئه و سوف تهوي بيه في جحر يعلمه و يكره و لا يتحمله,1,0,0,0,1
3673,2018-Ar-01815,من الاخر ليوم الدين زيك زي الباقيين - يشعر بالاستياء,1,1,0,0,1
2106,2018-Ar-00188,حالة من الغليان الفكري اللي مش هتنتهي الا لما اخرج......انطلقي 💃💃,1,0,0,0,1
476,2018-Ar-02805,@_sokon_ @vd04401 اللهم امين يارب العالمين واشكرك همس القلوب مش الروح على متابعتك الطيبه السعيده الجميله مثلك,0,0,0,1,0
1723,2018-Ar-02802,لم أر ذاك الواعظ الفظ مبتسماً مثل تلك الإبتسامة الفارهة وهو يستلم شنطة مريبة من ذلك المسؤل القطري ، إعتدناه بيننا خشناً متجهماً!\n#أزمة_أخلاق,1,1,0,0,0
1525,2018-Ar-02998,محتاجة اهب فى اى حد الحقيقة و اطلع كم الغيظ الى جوايا 😊😊 بس قشطة قشطة تمام ✋,1,0,0,0,0
1850,2018-Ar-00489,أذكرني بخير إذا قارنت يوما بيني وبينها وأرعبك الفرق بين حجمك لدي ولديها وأدركت ضخامة قسوة الزمان بفقدك لمثلي,1,0,0,0,1
1178,2018-Ar-02868,بحسد الناس اللى عندها قدرة انها تتعامل كويس مع شخص وهم واثقين انه خبيث وحقير لمُجرد انهم يريحوا دماغهم ويتقوا شره.,1,1,0,0,1
56,2018-Ar-03711,بس أبكي واكون ضعيفه ومستسلمه، وساعات يجيني خفقان قلب وانهار! اهلي شكّو انه صرع.,1,0,1,0,1
1744,2018-Ar-01477,محتاج اكلم واحدة تحنن عليا حزني فالموبيل 😂,0,0,0,0,1
208,2018-Ar-00902,ارتياح شعبي ورسمي بالغ لمحاصرة الإرهاب القطري - اليوم - السعودية,0,0,0,1,0
3166,2018-Ar-01245,القمم الثلاث ستكون منعطف حساس ودقيق لان هناك عدة عناصر ومصالح متناقضة ومتعاكسةكل منهم يشدها الى اتجاهه مما يزيد المشهد ارتباكا وحيرة وغموض,0,0,0,0,0
2776,2018-Ar-03522,@ask_182 تخيلي قايلتها قبل ما ادخل الاختبار الثاني زين ما ذبحتها 😤👊🏼,1,0,0,0,0
1307,2018-Ar-00401,إذا قال الله للعبد اناعفيت عنك يا عبدي قم وانهض من جديد لذكري واستقبل القبلة وصلي اي فرح من بعد هالفرحة انتظر واي خوف اخاف انا ف #امان_الله,0,0,0,1,0
425,2018-Ar-01580,"كان بأستطاعتك أن تداري سوء مزاجي ونبرة الهلع في صوتي وال""لست على مايرام""المختبئة خلف"" بخير"" كان ب امكانك فهم تناقضاتي",0,1,1,0,1
2807,2018-Ar-04024,أول مرة ف حياتي اشوف اصابة زي اصابة لوك شو او محمد ابراهيم دي لايف عالحقيقة بيبقي الموضوع صعب جدا،منظر مروع جدا مع صرخة الاعب ومنظره ع الارض,0,0,1,0,1
556,2018-Ar-02355,#ترفيه_الطيبين جدو سرحان من مسلسل بابا فرحان,0,0,0,0,0
1265,2018-Ar-00119,#السعادة ليست حلما وليست وهما هي #تفاؤل وحسن ظن بالله وصبر بغير استعجال كن واثقا بأن اليد الممتدة إلى #الله لا تعود فارغة أبدا,0,0,0,1,0
1896,2018-Ar-03659,حلقي راسي رجولي ركبتي فقدت الاحساس فيهم يعني اوكي مجربه بيت رعب بباريس وبدبي ومت خوف بس حقت اليوم تفوز هذا وانا كنت مستهينه فيها اهه 😭 😭,0,0,1,0,0
3795,2018-Ar-01136,الحزام يلتف على خصره كما تلتف أفعى جائعة على فأر مذعور ¡*,0,1,1,0,1
2792,2018-Ar-01581,@shereen__Nasser المرض النفسي لا نخلق به بل يكتسب من  ضروف صعبة مرينا بيها \nكالوسواس القهري متلا هدا فهدا مرض نفسي,0,0,0,0,0
492,2018-Ar-01977,@TTshroug في جميع الحالات انا ماني راضيه عنه 😤,0,1,0,0,1
961,2018-Ar-01379,انا ف المرحلة المرهقة دي من حياتي ممتن جدا لكل نص ساعة نوم باعرف اتحصل عليها و ساخط جدا على اي حد يقطع نومي,1,0,0,1,0
3431,2018-Ar-03796,انتي #جنة في حد ذاتك انتي ذاتك شئ كبير انتي وسط الحزن #فرحة انتي وسط الشر #خير,0,0,0,1,0
3640,2018-Ar-02735,طالما صحِباتي معايا بتظل الحياه تحتضني بكُل حنيه❤❤.,0,0,0,1,0
987,2018-Ar-02765,-ماذا بك يا صديقي -لا شئ سوى اننى حانق وكاره للعالم بمن فيه,1,1,0,0,1
2985,2018-Ar-03309,@yh6DbvrasBjXdLT @kasimf والله احنا حريين نهاجم اللي نبي 😗,0,1,0,0,0
2745,2018-Ar-03967,🌷 قمة السعاده ان تكون في عاصفة ذكرياتك الماضيه التي مضى عليها سنيوات وفجأة تصلك رساله من غلاها وغلا مرسلها تشعر بسعادة تغمر قلبك فرحآ وسرور 🌷,0,0,0,1,0
1938,2018-Ar-01741,خايفة أشوف الحلقة الأخيرة😭,0,0,1,0,0
3299,2018-Ar-02137,“: بادليني همس يا عشق الخفوق واحكميني حكم مجنون الهوى اسهريني ليل ما بعده شروق واحضنك مابين ضلع وترقوى,0,0,0,1,0
3288,2018-Ar-03716,أحب احساس #السعادة المُفاجئ اللي من غير أي أسباب تحس انك راضي عن الحياه وَ ودك تسعد كل الناس معاك .❤️,0,0,0,1,0
2256,2018-Ar-02739,يضحكني الشخص اللي إذا زعل يختفي على أساس عقاب لي خف علينا ياالشبكه 😂,0,1,0,1,0
2712,2018-Ar-01072,@docshayji انت تخرف من راسك.  المعلمي اليوم يقول لاتغيير علئ الشروط.  انت تفهم عربي ولا فارسي ولا تركي. !!! 😡,1,1,0,0,1
3349,2018-Ar-01911,مش #زعلان والله بس حاسس بخيبه #امل من ناس كتير #حواليه 😉 💔 👌,0,0,0,0,1
2096,2018-Ar-02673,انا قلت له احس بسخونه داخليه بالجسم توتر قلق خوف ارتجاف اليدين والجسم تعرق باليدين ثقل بالراس ساعات الحاله شديده وعاديه,0,0,1,0,0
3726,2018-Ar-02185,@kyuzizt طالع منه هالنتفة ، أكثر شي كان يقهرني فيه إنه بيقول عن نفسه مو حلو و بس بيمدح غيره 😡😡,1,1,0,0,1
1000,2018-Ar-01733,7 ايام بذاكر فيها و من قبل ما الجدول الفاينال ينزل بذاكرها واذاكر 250 ورقه و برزنتيشن و اسلايدات و في الاخر يجي برزنتيشن و اسلايدات 😠😬,1,0,0,0,1
1641,2018-Ar-03575,وش فيك دايم تعسر القلب واتّله .؟\nأخاف يومٍ يجي مااا عاد تلقاني👋🏻,0,0,1,0,1
336,2018-Ar-01451,قالت لي #صديقة أنت #جميلة حين تبتسمي وهناك شخص يخشى أن تحزني كوني سعيدة ف #عيناك تصبح أجمل حين تفرحي وهاأنا #سعيدة بتطبيق نصيحتها 💕,0,0,0,1,0
3390,2018-Ar-01274,الحمدلله أنه المحفظه ضاعت النهارده ومنزلتش أسمع الماتش عشان مش ناقصة كآبة والله منتخب زبالة ونادي زبالة وأي حاجة متعلقة بمصر بقت زبالة,1,1,0,0,1
1625,2018-Ar-03686,لا شيء أجمل من إشراقة صباح هادئ يقول لك فيه من يحبك صباح الخيرفيغدو الصباح صباح الخير والحب والأمل والهدوء والنشوة وكل الأشياء الجميلة 😍 💙,0,0,0,1,0
2040,2018-Ar-02915,من الطبيعي إنه يكون في ارتباك أو خوف لدرجة الهلع في نبرة صوت المعزبة بمثل هالموقف لكنه مفقود بهالمقطع,1,0,1,0,0
1352,2018-Ar-00076,كل عام وأنتم بخير وصحة وعافية 🌷 تقبل الله منا ومنكم صالح الأعمال عيدكم مبارك وفرحة وسعادة وهنا عساكم من عواده,0,0,0,1,0
559,2018-Ar-04017,#بهجت_الساعاتي\nمثال لصاخب الي لو مسمعتش كلامه هتروح في داهيه 😓\nولو سمعت كلامه هتروح في ستين داهيه 😂😂\n@AkramHosny \n#ريح_المدام,0,0,0,1,1
817,2018-Ar-03363,وانا ليا مين ف الدنيا دي غير سريري 🤔 #عزلة,0,0,0,0,1
390,2018-Ar-01572,@DvLZStaTioN #DVLZX نبغى تحية لخوانك من العراق والله احبك 😗,0,0,0,1,0
737,2018-Ar-01422,عندي وسواس من كل اشي أعوج  😐\nمستحيييل اشوف اشي اعوج وما اعدلو\nوخصوصا الصور الي بصورها لازم تكون بالملم 👌\nلدرجة اني شريت كاميرا فيها ميزان.,0,0,0,0,1
3411,2018-Ar-00689,انت عارف ان الحزن يرحل ويمشي بسجدة والبهجة والفرح تأتى بدعوة 👌,0,0,0,1,0
1068,2018-Ar-02116,ونمت على أمل أن #كفنك كان مجرد #كابوس نمت معتقدا أني سأنسى طقوس العزاء لكن كل شيء كان حيا ما عداك انت #ومضة_حرف #سوالف_روح,0,0,0,0,1
937,2018-Ar-01671,هل تعلم ان تكرار الاغنيه في ذهن الشخص طيلة النهار وتكرار غنائها على مدى يوم او ايام او ساعات هو نوع من #الوسواس القهري يعني مرض نفسي #طب,0,0,0,0,0
2497,2018-Ar-02238,انا مريض نفسي وفيه ناس يستفزوني,1,1,0,0,1
2909,2018-Ar-04133,صاحبي اللي صاحي 24ساعة في اي وقت بكلمه ... صاحبي اللي اقدر اعبر معاه عن غضبي منه وهو يستوعب ان ده نوع من العشم والمحبة :)❤,0,0,0,1,0
2512,2018-Ar-02681,بما أن الضحايا #مسلمين والفاعل ليس بمسلم إذا لن ترى أي استنكار سيخرج وزير الداخلية ويقول انه مختل عقليا ونأسف للإزعاج 😞 #دهس_مصلين_في_لندن,1,1,0,0,1
2645,2018-Ar-02377,مو عآرف هو ذبول ولا تبلد اللي أعرفه إن فيني تعب وهدوء,0,0,0,0,1
2555,2018-Ar-04199,خيبة أمل كبيرة تلوح في الأفق,0,0,0,0,1
257,2018-Ar-02946,اخ يالقهر لو كان اجنبي كان ضفه وزير الصحه علشان الدعايه والتبهرج ياويلهم من الله وهذا كا احد درى عنه وين الفلوب #سعودي_يناشدكم_بعد_احتراقه,1,1,0,0,1
3258,2018-Ar-01363,وسائل إعلام فرنسية: إنذار كاذب وراء إغلاق مطار أورلي ب #باريس,0,0,0,0,0
1339,2018-Ar-01059,من ساعة مدخلت تويتر واني حاس نفسي داخل بغابة ما بيها نهار ليلها دامس. #غربة_والله_غربة😞😂,1,1,0,0,1
1605,2018-Ar-03014,عرفتك من أول يوم و انت طبعك الخيانة بس الي صدمني تخون الي عاملك بشهامة #خيانة,1,0,0,0,1
216,2018-Ar-00051,النقاش مع شخص تحبه وتثق فيه مفيد جدا في تخفيف التوتر والاكتئاب ويمنحك ثقة كبيرة في نفسك #متي_تتخلص_السعوديه_من_التشدد,0,0,0,1,0
2728,2018-Ar-00010,"انت وانا "" واشباهنا كل المواقف ضدنا حزن وعنا هجر وفنا رتب لنا موعد #فراق "" اشواقنا ماهي لنا",0,0,0,0,1
1677,2018-Ar-02256,ده مش ارتباك ده لعب عيال واستهبال ده مصير دول فوقوا يرحمكم الله,1,0,0,0,0
510,2018-Ar-03625,عن الشخص اللي يخلي الإبتسامة توصل لين قلبك,0,0,0,1,0
1009,2018-Ar-04034,والله ياني حلمت حلم من رعبه للحين قامط وعجزت ارجع انام ثانيه لا اله الا الله,0,0,1,0,0
1544,2018-Ar-01299,مالي خلق مقابلة أي كائن بشري خصوصا لما يكون يجيب لك الهم والضيقة ودي أجلس في البيت 💔,1,1,0,0,1
526,2018-Ar-03847,#شكرا_لمن_طبخت_فطوري ليش رجال يحبون الاكل أكثر من الحريم يبلعون بلع  ☹️,1,0,0,1,1
1810,2018-Ar-00952,السوري يحس بالفزع و الخوف منكم و من ضرباتكم الخ الخ الخ بتعرفوا ليش,0,0,1,0,0
2294,2018-Ar-00467,بالنسبة لي تغيرت النظرة مع الازمة ربعنا عندهم روح فكاهة غير طبيعية 😁,0,0,0,1,0
132,2018-Ar-00982,بينما نحن مطحونين في حر القاهره ونيلها وزحمتها غيرنا بيلهو ع البحر وبيصنع المجد وبيشمم فخاده هوا,1,1,0,0,1
414,2018-Ar-01802,@bne_6 ايه شفت أول حلقتين وأحس بديت أتذكر اللي قرأت xD يس أكيد الأنمي أرهب بكثير 💘,0,0,0,1,0
35,2018-Ar-01690,شبابه حلو والله ومجنون ودمه خفيف احب مسلسلاته القديمة,0,0,0,1,0
1781,2018-Ar-03208,قلبي يحب اهل النفوس الخفيفه \nاللي بهم عن جاير الوقت تخفيف \nاللي ليا جيتهم وهموم قلبي كليفه \nخلوني اسج عن جميع المواليف,0,0,0,1,0
64,2018-Ar-00904,مابعرفش أسيطر على إنفعالي الطفولي ودي حاجة دايما بتسببلي إحراج والله 😞,1,0,0,0,1
1282,2018-Ar-03817,نفسي أعرف إيه اللي يضحك في مختل بيرعب الناس و رد فعل طبيعي لشخص في موقف مرعب,1,0,1,0,0
2874,2018-Ar-02109,تقريبا انا عايشه ف كابوس,0,0,1,0,1
638,2018-Ar-02076,@79ixii المشكله في ضميرك مو الاكل\n اسفليه 😗,1,1,0,0,1
2660,2018-Ar-01214,روحى غيرة حفاظتك ي مجرمه اتفوه عليكى عميله وسخه ي رب تموتى شر ميته,1,1,0,0,1
1224,2018-Ar-00108,تعبان وجهى و دموعى قهرتنى #موجوع_قلبى 💔,0,0,0,0,1
1441,2018-Ar-00571,والله مشكله يعني قطر كلها مترين في اربعه ومسوين إزعاج 😂 😂,1,1,0,0,1
1218,2018-Ar-01216,أصحابي هم عيدي وعيدالسنين هم بسمة فرح وفرحة عمر كل عام وانتو معاي 👭 ❤❤,0,0,0,1,0
1610,2018-Ar-04213,مشوفتش رهبة و خوف عليا في عين ماما زي النهاردة كدة,0,0,1,1,0
788,2018-Ar-03694,@tahan82394918 خلاص عاد انا اعتذرت وانتي اقبلي اعتذاري اممممم لازم تخلي العالم تشوف ايش قلت تغريدة ومسحتها,1,0,0,0,0
1508,2018-Ar-02453,@_Talal1 @HerfyFSC هرفي 😱 لو اعطوني ببلاش ما اخذت من عندهم شي ، مرتين دخلت المستشفى بسببهم,1,1,0,0,1
2987,2018-Ar-00304,أعتقد أن لو كان رامز عمل مقلبو بليل كان هيبقى أحلى وأرعب بكتير 😈😈,0,0,0,1,0
767,2018-Ar-01509,"وكان سبب كل هالشوشره والزعل والقومة والطيحة هي ""أنا محتاج أحس إنك تبيني"" ولكن محد يفهم",1,0,0,0,1
3425,2018-Ar-01760,انا عندي خوف منها حتى موعد الاسنان يجيني خفقان واخاف,0,0,1,0,0
1578,2018-Ar-00009,جماعة الإخوان الارهابيه باعت الجزر المصريه باعوا الغاز المصرى هيبيعوا الاهرامات خلى الشعب نايم الإخوان يبيعوا البلد #تمرد 😏 #مجلس_النواب,1,1,0,0,1
3153,2018-Ar-03078,استغفرالله اصلا انا مادري شمقعدني للحين ☺️ #زعل #فضفضة #شاربه_قهوة_دبل_شوت #سمسم_كله_منج,1,0,0,0,1
2584,2018-Ar-00208,هذا مؤشر خطير جدا على وصولهم لحالة عدم الاكتراث او الخوف من الامن ومن القانون #اعتداء_تكارنه_علي_رجل_امن,1,0,1,0,1
1108,2018-Ar-04014,وقت الخلاف بلاش تقسوا على بعض.. الخلاف مهما طال مسيره يخلص إنما القسوة وانك تسيب اللي بتحبه ينام زعلان ده عمره ما هيتنسي ابدااا..✋😔💔,0,0,0,1,1
3778,2018-Ar-01342,@tab_tab70 @aliasmi2012 @shumrany يعني الشبكة زق في الايفون افكر اشتريه الايام الجاية 💔\n\nالمشكلة 4G لسا ما وصلت عندنا😥,1,0,0,0,0
2129,2018-Ar-01053,@maabelfatihali 💟💟💟💟 السنه الجايه مجهجه ليك ف خطوبتك 😂😂,0,0,0,1,0
911,2018-Ar-01217,كتالوج ملخص فيه الاساسيات أقل شي القوانين المهمة طيب :( عطونا القوانين ونحنا بندبر حالنا وبنحل المسائل مهما كانت صعوبتها بلييز,0,1,0,0,1
1870,2018-Ar-03342,كنا عم نستنا شغلات أحسن من هيك بعد كل هالموت والتدمير والتهجير و #التعب\nياحيف بس,1,1,0,0,1
191,2018-Ar-04190,ارفع رجولك لما تمشي عيب عليك تجرها #ضوضاء #ازعاج_سمعي #قلق,1,0,1,0,0
2295,2018-Ar-03081,غضب شديد ثم رضى مفاجئ ثم إحساس هائل بالوحشة والخوف ثم حزن رهيب ثم ينتهي اليوم ويبدأ اليوم الذي بعده بغضب شديد #هرمونات,1,0,1,0,1
3786,2018-Ar-00938,طيب تفتحين الخاص اذا ما فيه احراج ولك جزيل الشر,0,0,0,0,0
2206,2018-Ar-03341,• ليت الاحاسيس تتصور واصورها ودي تشوف بعيونك كيف تحزني,0,0,0,0,1
1409,2018-Ar-02224,انتو بعد تتنرفزون لين احد حاط رنته رنة المنبه و لا انا فيني خلل🙂😤💔,1,0,0,0,0
1992,2018-Ar-03580,@maryam_jood45 @Muhannad__1992 مو ناقصين رعب تكفين 😱,1,0,1,0,1
2438,2018-Ar-01023,#فرحتي_فيك_غير ي كبر فرحة هنو بتخرجها 🎓 💕,0,0,0,1,0
1526,2018-Ar-00193,الدموع اللي حبستهااطوال السنين كلهافي ضحى ذاالعيد نزلتها والله إني جريح ووالله إني حزين ليت حزني طبيعه كان بدلتها ي الحب العيدبدونك ماهوعيد,0,0,0,0,1
2876,2018-Ar-03279,وانا اتنقل بالأرجاء حاسة بكآبة و فراغ ، المكان مافيه حياة بدون جيكوب 💔,0,0,0,0,1
2301,2018-Ar-00222,#ضحكة😀 تعوضها #ضحكة 😂\n\nبكيت #رجال مش باش يكيدني #بزڨليف 🙌🙋\n\n#ريق_و_كذا 😜 — feeling hyper,0,0,0,1,0
452,2018-Ar-03451,أتوقع مجرد تخويف لناس لكن الحكومه ماحد يخوفها,0,0,1,0,0
1234,2018-Ar-03470,نفسى أخد #حظى على جمب وأقوله أأنت #زعلان منى :( فى حااجة 😂 😂,0,0,0,0,1
196,2018-Ar-02496,إن الفرح نكهة نحن صناعها حتى مع اولئك الذين ظنناهم سببا في ابتهاجنا نحن من اعطينآهم فتيل سعادتنا محبتنا لهم هي التي تشعلها وهي التي تخمدها,0,0,0,1,0
3718,2018-Ar-00003,@yoty15 ليه ماتردي على الجوال😡اشوفك  تتصلي بالواتس وادق ماتردي,1,0,0,0,0
1564,2018-Ar-03547,احتفالية جمهور الأهلي ب صالح جمعه بعد أداءه الرائع بمباراة سموحة لابد أن تدفعه لإظهار المزيد من التألق ما أروع أن يعشقك جمهورك ننتظر المزيد,0,0,0,1,0
1708,2018-Ar-02165,لا ترضى بنصف #حب ولا بنصف #فراق ، اما كل شي او لا شي على الاطلاق .,0,0,0,1,1
459,2018-Ar-00948,معرف كيف أراضي وانا ازعل من الشخص نفسه لانه زعل,0,0,0,0,1
3306,2018-Ar-01177,وحيد بين الناس وحيد وغريب يوم كل الناس صاروا أغراب وقريب لا أحتاجني المحتاج وبعيد لا زاد فيهم النميمه والغيبه #غربة_روح,0,0,0,0,1
680,2018-Ar-00300,هذه نتيجة الصيام كيف اندحر به والآن ينتقم كذلك الخل يدحره يريد عبادة روح استشاط غضب بشكل لم يسبق له مثيل,1,0,0,0,0
1943,2018-Ar-00872,بلدنا بلد خير ومن يعمل فيه يستحق الخير مجرد موافقة وزارية تنهي معاناة من تجرع مرارة الغربة #مطلبنا_حركه_تصحيحيه_شامله2,0,0,0,1,0
418,2018-Ar-04010,افرح وعيش أنت غالي علينا، اوعى تحزن يوم \nبكرة هاترجع تضحك لينا هتنسى أي هموم ..\n#أصالة #افرح_وعيش \n@AssalaOfficial,0,0,0,1,0
1678,2018-Ar-00029,@AkramHosny حاجه كده تحفة #ريح_المدام 💕خفه دم حاجه لذيذه بتتفرج وانت مبتهج وبتضحك من قلبك بدون اسفاف ولاابتذال 🏆تستاهلو الكاس اكرم فهمي 💕,0,0,0,1,0
361,2018-Ar-03639,أنا على ثقة بأن كرم الله سيمطر علي فرحا فأنتظاري ماهو إلا سحابة اثقلها دعائي في النهاية ستمطر غيمة أحلامي 🌧,0,0,0,1,0
1778,2018-Ar-03507,#السعاده مرتبطه ب #الايمان ايمانك بان الله خلقك وهو يرى الخير لك فلن تجد #سعاده بعيد عنه امن فقط وهو سوف يرعاك فما اجمل الحياه قرب الله,0,0,0,1,0
202,2018-Ar-02521,بدأ ينكمش على نفسه من شدة البكاء وقد انكمش جدا حتى أنه لم يعد له ظل ولولا هذا الخوف الذي يملأ قلبه لتأكد بأنه لم يعد موجودا•,0,0,1,0,1
934,2018-Ar-02191,@911_mero تعدل نومك خلاص لاتزعجيني 😡,1,1,0,0,1
1477,2018-Ar-01444,يا حنيني وش بقى فيني بعد\nغير اماني تنتظر لحظة لقى :(,0,0,0,1,1
2164,2018-Ar-02548,ما #يقلق النساء هي الأمور التي دائما ينساها الرجال وما يقلق الرجال هي الأمور التي دائما تتذكرها النساء,0,0,1,0,1
3363,2018-Ar-02851,@tvtcweb متى موعد اعلان نتائج مقابلات الوظائف التدريبيه\n\n@FahadM_Alotaibi \n@dralfahaid\n@tvtcweb_ask  \n\nممكن ترحمونا من التوتر اللي حنا فيه,0,0,1,0,0
3579,2018-Ar-04191,@MarwaOmar94 @hanaa57968387 😂😂😂 الله يجيرنا بس\n هو تخلف بعقل \nمش لهاي الدرجة ولوك \nيعني ازا انتي ما بتحبيه برجعلك شو دخلهم \nناس آخر زمن,1,1,0,0,0
124,2018-Ar-03312,لو اجتمعو ع ان يضروك بشيء لن يضروك الا بشيء قد كتبه الله لك 😍 #اطمئنان,0,0,0,1,0
3442,2018-Ar-02407,انسدل الستار ع قصة يوسف عليه الصلاة والسلام وهو فرحان جذلان بعطايا الكريم المنان,0,0,0,1,0
3775,2018-Ar-02644,النهاردة قررت أن سلامي النفسي وضغطي أهم من ضبط النفس والثبات الإنفعالي، وبناء عليه أن امبارح هو آخر أيام المهادنة والطبطبة ومراعاة الخواطر&gt;,1,1,0,0,0
338,2018-Ar-02522,اسألني عن الخبث أحدثك عن نفاق و غدر الأقارب,1,1,0,0,1
924,2018-Ar-02963,ممكن رضا يكون اوهمهم انو مات اه يا خوفي 😢 #CesurveGüzel,0,0,1,0,0
3319,2018-Ar-03773,@anwarmalek فلوسنا واحنا حرين فيها وش دخلكم  يامطايا المجوس..صفقات تجارية ضخمه ستعود بالنفع على المجتمع السعودي بالتأكيد وموتوا بغيظكم 😐,1,1,0,1,0
2165,2018-Ar-03832,لن ينسى ربي دمعة مظلوم ولا خيانة حبيب ولا خذلان قريب ولا سخرية جليس سبحانه لا تخفى عليه خافية,0,0,0,0,1
503,2018-Ar-04309,هدوء الغاضب بطبيعته مقلق و غضب الهادئ بطبيعته مخيف,1,0,1,0,0
3116,2018-Ar-00209,❤اللهم اجعله مساء الجمعة مساء خير خال من اليأس والأحزان وانشر بقدرتك الفرح والتفاؤل يارب❤,0,0,0,1,0
446,2018-Ar-01357,#قطر استعانت عسكريا ب #تركيا و #ايران هل هذا الإجراء الاحترازي أربك أو أرعب الخليج,0,0,1,0,0
2741,2018-Ar-01421,اللي يزعل حورااء انا اذبحه 😡 🔪,1,0,0,0,0
1837,2018-Ar-02350,@3alyoum التوسل والخوف اللي صابها ماشفته حتى بالافلام دامها ماهي على غلط ليه كل الهستيريا والرعب اللي اصابها ؟؟,0,0,1,0,0
3381,2018-Ar-04102,من شهر تقريبا حياة كل ما تشوفني انا وامها لوحدنا تفتح دراعها وتحضنا مع بعض وتطبطب علينا اوفر دوز سعادة وانشكاح ومش عارف اتعلمت ده فين,0,0,0,1,0
2443,2018-Ar-03125,لهم وهم من ترك الراحه ولاهل والاحبه وضحا بعمره في جبال موحشه ليحافظ عل امن بلاده الايستحقون دعوه بلا وربي يستاهلون اكثر لتوضيح احبتي 🙏,0,0,0,1,0
2456,2018-Ar-03960,يا #حزن ليه ساكن #ملامحي كأنك حته #مني :( #وسكاتي يبقي كلمه #واضحه بس شايله #همي #Bebo,0,0,0,0,1
3398,2018-Ar-02213,@careless_83 تستعين بناس تعيش على عقلية القرون البائدة.  ناس همها تأكل وتسرق وش تتوقع يعني اكيد الجمود والتراجع لا يوجد حل وسط,1,1,0,0,1
3344,2018-Ar-03607,في قانُون غيرتي:\nالذبح وقت الغيِرة حلال!! 😊,1,0,0,0,0
935,2018-Ar-03484,أريد لحظة إنفعال لحظة حب لحظة دهشة لحظة إكتشاف لحظة معرفةأريد لحظة تجعل لحياتى معنى إن حياتي من أجل أكل العيش لا معنى لها لأنها مجرد إستمرار,0,0,0,0,1
1450,2018-Ar-00725,يمر أول أيام العيد وقلبي غير سعيد 😭 اشوف الناس تلبس وتفرح وانا فيني غصه 😭 وعيوني اغرقتني بالدموع 😭 ماراح انساك ( وفاء ) 😭,0,0,0,0,1
2249,2018-Ar-01438,دخلوني يا عيال الكلب ما نمت بدري عشان انتظر!!!! 😡 @bungie,1,0,0,0,0
2048,2018-Ar-03055,الشعور المتبادل بين قلبين بتحسه لما تحس ان فيه حاجة مغطياك او حضناك كدة 💔,0,0,0,1,0
1353,2018-Ar-01943,اذا هادي لوجوه حزينه ايش اقول عن حالي تعيس 😬 😂,0,0,0,0,1
1549,2018-Ar-01199,بعض الصديقات سعادة أحاديثهم بهجه وفرح لقلوبنآ 🎈 💭 اجعلنا ي الله في نعيم الجنة نلتقي لا هم تحمل قلوبنآ وتحتوينا السعادة دائما 💛,0,0,0,1,0
2433,2018-Ar-00069,سئل الشافعي: كيف يكون سوء الظن بالله قال: الوسوسة والخوف الدائم من حدوث مصيبة وترقب زوال النعمة كلها من سوء الظن بالرحمن الرحيم,0,0,1,1,1
1188,2018-Ar-01166,فكأنه صب بباب حبيبة متوسل مستعطف مسترحم والجدول الجذلان يضحك لاهيا والنرجس الولهان مغف يحلم صور و أيات تفيض بشاشة حتى كأن الله فيها يبسم,0,0,0,1,0
217,2018-Ar-01122,#مدير_شرطه_يدهس_شاب_عمد\nلكل من يستهتر ب حياه الناس لزم يتعاقب. 😤,1,1,0,0,0
